client_id,client_first_name,client_middle_name,client_last_name,client_fio_full,client_bday,client_bplace,client_cityzen,client_resident_cd,client_gender,client_marital_cd,client_graduate,client_child_cnt,client_mil_cd,client_zagran_cd,client_inn,client_snils,client_vip_cd,contact_vc,contact_tg,contact_other,contact_email,contact_phone,addr_region,addr_country,addr_zip,addr_street,addr_house,addr_body,addr_flat,addr_area,addr_loc,addr_city,addr_reg_dt,addr_str,fin_rating,fin_loan_limit,fin_loan_value,fin_loan_debt,fin_loan_percent,fin_loan_begin_dt,fin_loan_end_dt,stream_favorite_show,stream_duration,create_date,update_date,source_cd
596118586,Меджид,Кузарович,Евдунов,Евдунов Меджид Кузарович,1992-08-23,ДЕР. КИРГИНЦЕВО АРОМАШЕВСКОГО Р-НА ТЮМЕНСКОЙ ОБЛ.,RUS,Д,М,Д,Н,2.0,Д,Н,912343465984.0,52203201188.0,Н,,,,evdunov@goddess.com,+7 926 226 7251,63.0,1103.0,445039,ГАЯ,12,,318,,,ТОЛЬЯТТИ,,"63, г.ТОЛЬЯТТИ, ул. ГАЯ, д.12, кв.318",5.0,729900.0,,,,,,,,2020-07-16 05:10:57.904,2020-07-16 05:10:57.904,Bank
747208737,Мансыр,Хирсанович,Повод,Повод Мансыр Хирсанович,1987-03-15,,, ,М, ,,1.0, , ,,,,,,,povod@ajman.cc,+7 923 794 1066,,,,,,,,,,,,,,,,,,,,Star Wars: A New Hope,1187.0,2020-11-13 21:33:19.620,2020-11-13 21:33:19.620,Stream
625104053,НУРДИНБЕК,УВАЙСОВИЧ,БУРНАС,БУРНАС НУРДИНБЕК УВАЙСОВИЧ,1961-04-05,СЕЛО ДИОРОВА ТЯЧЕВСКОГО РАЙОНА ЗАКАРПАТСКОЙ ОБЛАСТИ,RUS, ,М, ,,, , ,,,,,,,burnas@grapemail.net,+7 927 449 6708,,1103.0,121596,БАРВИХИНСКАЯ,20,,94,,,МОСКВА,,"г.МОСКВА, ул. БАРВИХИНСКАЯ, д.20, кв.94",,,,,,,,,,2022-09-06 20:41:55.362,2022-09-06 20:41:55.362,Telco
624196811,Афаят,Гордиевна,Бондажевская,Бондажевская Афаят Гордиевна,1976-06-01,,, ,Ж, ,,0.0, , ,,,,,,,bondazevskay@firemyst.com,+7 982 107 4554,,,,,,,,,,,,,,,,,,,,Остаться в живых,35.0,2021-08-17 19:00:45.024,2021-08-17 19:00:45.024,Stream
177500487,Сахия,Фидаевна,Разуева,Разуева Сахия Фидаевна,1961-07-31,,, ,Ж, ,,2.0, , ,,,,,,,razueva@chemist.com,+7 956 299 7470,,,,,,,,,,,,,,,,,,,,Начало,834.0,2022-11-05 05:37:58.131,2022-12-04 00:00:09.068,Stream
81705848,Аржана,Наилович,Чередник,Чередник Аржана Наилович,1933-07-06,,, ,Ж, ,,1.0, , ,,,,,,,herednik@saveourplanet.org,+7 969 775 2097,,,,,,,,,,,,,,,,,,,,Мстители: Финал,1334.0,2022-11-11 11:49:24.679,2022-11-11 11:49:24.679,Stream
445441055,Аимкан,Агургеновна,Богач,Богач Аимкан Агургеновна,1943-11-19,,, ,Ж, ,,1.0, , ,,,,,,,bogah@ravefan.com,+7 969 916 8743,,,,,,,,,,,,,,,,,,,,Шерлок,845.0,2024-07-26 17:11:39.934,2024-08-21 07:46:25.748,Stream
333808481,Арли,Янис,Помилов,Помилов Арли Янис,1963-10-01,,, ,М, ,,3.0, , ,,,,,,,pomilov@kairouan.cc,+7 925 136 9172,,,,,,,,,,,,,,,,,,,,Очень странные дела,831.0,2023-08-31 23:23:19.436,2024-03-19 21:49:48.631,Stream
610269013,Магарам,Тайевич,Лыло,Лыло Магарам Тайевич,1926-07-26,,, ,М, ,,1.0, , ,,,,,,,lylo@coolshit.com,+7 926 869 7387,,,,,,,,,,,,,,,,,,,,Во все тяжкие,1162.0,2021-07-23 06:06:36.147,2023-01-30 00:31:47.680,Stream
996443530,Тойдык,Чукановна,Лехно,Лехно Тойдык Чукановна,1965-09-11,,, ,Ж, ,,0.0, , ,,,,,,,lekno@rostov.tv,+7 964 556 5213,,,,,,,,,,,,,,,,,,,,Парк юрского периода,80.0,2021-02-08 00:14:20.275,2021-02-08 00:14:20.275,Stream
